Company Name,Growth Score,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Industry,Business Model,Keywords,Investors,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Has Google Play App,Has iTunes App,Months since last funding,Employees added since last funding,New person months since last funding,New funding employee growth,Date Added
Smartbow,27,27,50,https://mattermark.com/app/data/11081056/,http://smartbow.at,"Your Cows, Your Business.",No,,,,,,,,,,,,,,,57,57,0,,,,,,,,,,,,,,,,,,,354,351,1,302,17,18,18,0,17,17,0,,,,,,,No Known Funding,,,,austria,,,,aut,EU,No,No,No,,,,,2015-08-21
amiko.io,26,26,-254,https://mattermark.com/app/data/10145052/,http://amiko.io,"SmartOn is a complete responsive, retina-ready and multipurpose theme.",No,,,,healthcare,B2C,health & wellness|quantified self,,10,10,0,0,11,-1,-9,69,87,-21,95,-27,,,,,,379,380,0,384,-1,,,,,,,569,570,0,572,-1,2,,,2,2,0,37,36,3,33,12,2014,No Known Funding,,,,milan,milan,,,ita,EU,No,No,No,,,,,2014-09-10
leapcraft.dk,26,26,0,https://mattermark.com/app/data/11309521/,http://leapcraft.dk,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Intoino,26,26,3,https://mattermark.com/app/data/141319/intoino,http://intoino.com,"Want to build cool electronic product? INTOINO is the way to bring your ideas to life & provide opensource hardware by which you can do electronic construction",No,,,,,B2C,diy|internet of things,,4,4,0,0,3,1,33,12,12,0,17,-29,,,,,,821,819,0,821,0,0,0,,10,19,-47,,,,,,,,,,,,36,35,3,34,6,,No Known Funding,,,,turin,turin,,,ita,EU,Yes,Yes,No,,,,,2013-04-26
Atooma,26,18,-46,https://mattermark.com/app/data/91197/atooma,http://atooma.com,"Atooma is a tech company based in Rome and San Francisco focused on bringing context awareness to the Internet of Things world. Try now Atooma App for Android to automate everything on your smartphone.",No,,,,automotive|cloud computing|hardware|internet of things|mobile,B2B|B2C,android|internet of things|productivity|social media|user experience|user interface,LVenture Group|UniCredit,9,10,-1,-10,10,-1,-10,505,705,-28,957,-47,,,,,,2164,2156,0,2145,1,8,26,-69,56,80,-30,2787,2787,0,2789,0,70,,,18,54,-67,257,250,3,237,8,2012,Pre Series A,765000,2015-04-24,600000,terni,terni,,CA,usa,NA,Yes,Yes,No,10,1,16,37500,2013-04-04
Onomondo,26,26,31,https://mattermark.com/app/data/11050640/,http://onomondo.com,"Onomondo is first to construct a virtual and scalable software telco engine that is capable of merging GSM networks and eliminate roaming.",No,,,,,,,,,,,,,,,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,dnk,EU,No,No,No,,,,,2015-08-21
thingsoninternet.biz,25,25,0,https://mattermark.com/app/data/11309350/,http://thingsoninternet.biz,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
u-hopper,25,25,48,https://mattermark.com/app/data/11077664/,http://u-hopper.com,"High-tech start-up company whose mission is to fully exploit the potential of modern mobile handset technologies and social networking platforms to provide innovative personalised services to individuals and communities.",No,,,,,,,,,,,,,,,6,17,-65,,,,,,,,244,244,0,242,1,,,,,,,75,73,3,72,4,4,,,2,2,0,,,,,,2011,No Known Funding,,,,trento,trento,,,ita,EU,No,No,No,,,,,2015-08-21
hopu.eu,25,25,50,https://mattermark.com/app/data/10145484/,http://hopu.eu,"HOP is the company focused on developing wearable and personal computing solutions with IPv6, Cloud Computing & Bluetooth Smart technology.",No,,,,,,,,4,4,0,0,4,0,0,5,5,0,12,-58,,,,,,130,122,7,116,12,,,,,,,147,147,0,147,0,5,,,5,5,0,12,12,0,10,20,,Exited (other),,,,murcia,murcia,,,esp,EU,No,No,No,,,,,2014-09-10
teamscope.io,25,25,51,https://mattermark.com/app/data/11175121/,http://teamscope.io,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-10-27
Canard Drones,24,24,-10,https://mattermark.com/app/data/11147573/,http://canarddrones.com,"",No,,,,transportation,B2C,aerospace,,,,,,,,,,,,,,,,,,,72,52,38,50,44,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,madrid,madrid,,,esp,EU,No,No,No,,,,,2015-10-01
eLoptico,24,24,0,https://mattermark.com/app/data/11014649/,http://eloptico.com,"eLoptico is the next generation glass solution. We are optimizing work flow processes in dental clinics by leveraging the latest glass technology.",No,,,,healthcare,B2B,,,,,,,,,,3,3,0,3,0,,,,,,,,,,,,,,,,,120,120,0,,,,,,,,,,,,,,,No Known Funding,,,,copenhagen,copenhagen,,,dnk,EU,No,No,No,,,,,2015-07-09
prodevelop.es,24,24,31,https://mattermark.com/app/data/11309285/,http://prodevelop.es,"",No,,,,,,,,,,,,,,,,,,,,,,,,,459,460,0,,,,,,,,,175,175,0,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,Yes,Yes,No,,,,,2016-02-17
FitFully,24,24,-28,https://mattermark.com/app/data/220908/,http://fitfully.me,"Virtual-Fit-as-a-Service (VFaaS)",No,,,,e-commerce|fashion|mobile,B2C,fashion|sporing goods,,1,1,0,0,1,0,0,55,44,25,27,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2014,Pre Series A,100000,2013-11-19,50000,dimona,dimona,,,,,No,No,No,27,0,0,0,2013-12-04
vento.tv,24,24,48,https://mattermark.com/app/data/11309373/,http://vento.tv,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Audiotube,24,24,29,https://mattermark.com/app/data/10583968/,http://audiotube.com,"",No,,,,,B2B,,,,,,,,,,6,,,,,,,,,,647,647,0,648,0,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2014-10-11
Smartaxi,24,24,32,https://mattermark.com/app/data/133220/smartaxi,http://smartaxi.me,"Taxi on demand",No,,,,mobile|transportation,B2B|SaaS,artificial intelligence|big data,|Wayra,,,,,,,,12,12,0,30,-60,,,,,,104,104,0,108,-4,12,7,71,24,1,2300,126,125,1,125,1,1,,,1,1,0,,,,,,,Pre Series A,0,,,valencia,valencia,,,esp,EU,Yes,Yes,No,,,,,2013-04-26
targetup.de,23,23,0,https://mattermark.com/app/data/11309336/,http://targetup.de,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
frozenvision.net,22,22,4,https://mattermark.com/app/data/11175290/,http://frozenvision.net,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,593,2,578,4,7,,,7,7,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-10-27
